Groups,class,Season,Year,Value,Imperviousness,majority,wetland,Lat,Long
Little Loma,natural,Summer,2018,2,0.89,wetland,is,26.204,-98.271
Little Loma,natural,Winter,2018,2,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Summer,2020,2,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Summer,2020,2,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Summer,2021,2,0.89,wetland,is,26.073,-97.228
Little Loma,Natural,Summer,2023,2,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Summer,2019,3,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Summer,2019,3,0.89,wetland,is,26.073,-97.228
Little Loma,natural,Winter,2019,3,0.89,wetland,is,26.236,-97.519
Little Loma,natural,Winter,2020,3,0.89,wetland,is,26.195,-97.612
Little Loma,natural,Winter,2021,3,0.89,wetland,is,26.195,-97.612
LANWR Unit 6,natural,Summer,2023,2,0.9,wetland,is,26.195,-97.612
LANWR Unit 6,Natural,Summer,2023,2,0.9,wetland,is,26.195,-97.612
LANWR Unit 6,natural,Winter,2021,3,0.9,wetland,is,26.195,-97.612
Bahia Red,natural,Summer,2018,2,1,wetland,is,26.195,-97.612
Bahia Red,natural,Summer,2019,2,1,wetland,is,26.195,-97.612
Bahia Red,natural,Summer,2019,2,1,wetland,is,26.195,-97.612
Bahia Red,natural,Winter,2019,2,1,wetland,is,26.195,-97.612
S. Palo Alto,urban,Summer,2021,2,1,wetland,is,26.195,-97.612
S. Palo Alto,urban,Winter,2021,2,1,wetland,is,26.195,-97.612
510 S curve,Natural,Summer,2023,6,1.02,grassland,not,26.195,-97.612
First Pass,Natural,Summer,2023,2,1.22,wetland,is,26.215,-97.444
Kingston North,Natural,Summer,2023,1,1.34,wetland,is,26.215,-97.444
Kingston North,natural,Summer,2018,2,1.34,wetland,is,26.215,-97.444
Kingston North,natural,Summer,2018,2,1.34,wetland,is,26.215,-97.444
Kingston North,natural,Winter,2018,2,1.34,wetland,is,26.215,-97.444
Kingston North,natural,Winter,2018,2,1.34,wetland,is,26.263,-97.588
Kingston North,natural,Summer,2019,2,1.34,wetland,is,26.263,-97.588
Kingston North,natural,Summer,2019,2,1.34,wetland,is,26.263,-97.588
Kingston North,natural,Winter,2019,2,1.34,wetland,is,25.916667,-97.378333
Kingston North,natural,Summer,2020,2,1.34,wetland,is,25.916667,-97.378333
Kingston North,natural,Winter,2020,2,1.34,wetland,is,26.222678,-97.4296499
Kingston North,natural,Summer,2021,2,1.34,wetland,is,26.184,-97.618
Ocelot Rd,urban,Summer,2023,2,1.34,shrub/scrub,not,26.184,-97.618
Palm Ranch,Natural,Summer,2023,2,1.34,wetland,is,26.184,-97.618
Kingston North,natural,Summer,2023,3,1.34,wetland,is,26.184,-97.618
Kingston South,natural,Winter,2023,3,1.34,wetland,is,26.184,-97.618
Kingston North,natural,Summer,2020,4,1.34,wetland,is,26.184,-97.618
Kingston North,natural,Winter,2023,6,1.34,wetland,is,26.184,-97.618
Palm Mouth,natural,Summer,2020,2,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Winter,2020,3,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Winter,2023,3,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Summer,2023,4,1.7,wetland,is,26.184,-97.618
Palm Mouth,Natural,Summer,2023,4,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Summer,2020,5,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Winter,2021,5,1.7,wetland,is,26.184,-97.618
Palm Mouth,natural,Summer,2018,2,1.705,wetland,is,26.182,-97.588
Palm Mouth,natural,Summer,2018,2,1.705,wetland,is,26.182,-97.588
Palm Mouth,natural,Winter,2018,2,1.705,wetland,is,26.182,-97.588
Palm Mouth,natural,Summer,2019,3,1.705,wetland,is,26.182,-97.588
Palm Mouth,natural,Summer,2019,3,1.705,wetland,is,26.182,-97.588
Palm Mouth,natural,Winter,2019,3,1.705,wetland,is,26.182,-97.588
Yolanda,natural,Summer,2018,2,1.755,wetland,is,26.182,-97.588
Yolanda,natural,Winter,2018,2,1.755,wetland,is,26.182,-97.588
Yolanda,natural,Summer,2019,3,1.755,wetland,is,26.182,-97.588
Yolanda,natural,Summer,2019,4,1.755,wetland,is,26.182,-97.588
Yolanda,natural,Winter,2019,4,1.755,wetland,is,26.182,-97.588
LANWR rd,natural,Summer,2023,2,1.766,crops,not,26.182,-97.588
LANWR rd,Natural,Summer,2023,2,1.766,crops,not,26.182,-97.588
LANWR rd,natural,Winter,2021,3,1.766,crops,not,25.969,-97.436
LANWR rd,natural,Winter,2023,4,1.766,crops,not,25.969,-97.436
Zillock Ranch,urban,Summer,2020,2,2.004,crops,not,26.2469538,-97.6373354
Yolanda,natural,Winter,2023,3,2.004,wetland,is,26.2469538,-97.6373354
Zillock Ranch,urban,Summer,2020,3,2.004,crops,not,26.1508213,-97.6844106
Zillock Ranch,urban,Winter,2020,3,2.004,crops,not,26.371,-97.791
Zillock Ranch,urban,Winter,2021,3,2.004,crops,not,26.371,-97.791
Cemetery,urban,Summer,2018,2,2.19,crops,not,26.371,-97.791
Cemetery,urban,Summer,2019,2,2.19,crops,not,26.271,-98.219
Cemetery,urban,Summer,2019,2,2.19,crops,not,26.179,-97.772
Cemetery,urban,Summer,2018,3,2.19,crops,not,26.179,-97.772
Cemetery,urban,Winter,2018,3,2.19,crops,not,26.179,-97.772
Cemetery,urban,Summer,2020,3,2.19,crops,not,26.179,-97.772
Cemetery,urban,Summer,2021,3,2.19,crops,not,26.179,-97.772
Cemetery,urban,Winter,2021,3,2.19,crops,not,26.184,-97.635
Cemetery,urban,Winter,2019,4,2.19,crops,not,26.124,-97.959
Cemetery,urban,Winter,2020,4,2.19,crops,not,26.124,-97.959
Cemetery,Natural,Summer,2023,4,2.19,crops,not,26.124,-97.959
Cemetery,urban,Summer,2023,5,2.19,crops,not,26.124,-97.959
Cemetery,urban,Winter,2023,6,2.19,crops,not,26.124,-97.959
Yolanda,natural,Summer,2020,2,2.29,wetland,is,26.26943124,-97.39478995
Yolanda,natural,Summer,2020,3,2.29,wetland,is,25.984,-97.525
Yolanda,natural,Winter,2020,3,2.29,wetland,is,25.984,-97.525
Yolanda,natural,Summer,2021,3,2.29,wetland,is,25.984,-97.525
Yolanda,natural,Winter,2021,3,2.29,wetland,is,25.984,-97.525
Yolanda,natural,Summer,2023,4,2.29,wetland,is,25.984,-97.525
Yolanda,Natural,Summer,2023,4,2.29,wetland,is,25.984,-97.525
S Buena Vista,Natural,Summer,2023,3,2.677,grassland,not,25.984,-97.525
Palm End,natural,Summer,2020,2,3.02,wetland,is,25.984,-97.525
Palm End,natural,Winter,2021,2,3.02,wetland,is,25.984,-97.525
Palm End,Natural,Summer,2023,2,3.02,wetland,is,25.941,-97.346
Palm End,natural,Summer,2020,3,3.02,wetland,is,25.941,-97.346
Palm End,natural,Winter,2020,3,3.02,wetland,is,25.941,-97.346
Palm End,natural,Summer,2023,3,3.02,wetland,is,25.941,-97.346
Palm End,natural,Winter,2023,3,3.02,wetland,is,25.941,-97.346
Palm End,natural,Summer,2019,2,3.1,wetland,is,25.941,-97.346
Palm End,natural,Summer,2019,2,3.1,wetland,is,25.941,-97.346
Palm End,natural,Winter,2019,2,3.1,wetland,is,25.941,-97.346
NW quicksilver,natural,Summer,2023,2,3.24,wetland,is,25.941,-97.346
NW quicksilver,Natural,Summer,2023,2,3.24,wetland,is,25.941,-97.346
Cell Tower,urban,Summer,2023,1,3.3,crops,not,25.941,-97.346
Cell Tower,natural,Summer,2018,2,3.3,crops,not,25.941,-97.346
Cell Tower,natural,Summer,2018,2,3.3,crops,not,25.941,-97.346
Cell Tower,natural,Winter,2018,2,3.3,crops,not,25.933323,-97.334586
Cell Tower,natural,Summer,2019,2,3.3,crops,not,26.102,-97.303
Cell Tower,natural,Summer,2019,2,3.3,crops,not,26.102,-97.303
Cell Tower,natural,Winter,2019,2,3.3,crops,not,26.102,-97.303
Cell Tower,natural,Summer,2020,2,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Summer,2023,2,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Winter,2023,2,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Summer,2020,3,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Summer,2021,4,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Winter,2020,5,3.3,crops,not,25.959,-97.287
Cell Tower,natural,Winter,2021,5,3.3,crops,not,25.959,-97.287
Airport,Natural,Summer,2019,2,3.33,crops,not,25.959,-97.287
Airport,Natural,Summer,2020,2,3.43,crops,not,25.959,-97.287
Airport,Natural,Winter,2020,2,3.43,crops,not,25.959,-97.287
Airport,Natural,Summer,2023,2,3.43,crops,not,25.959,-97.287
Airport,Natural,Summer,2020,4,3.43,crops,not,25.959,-97.287
Palo Alto,urban,Summer,2020,2,3.57,wetland,is,25.959,-97.287
Palo Alto,Natural,Summer,2023,4,3.57,wetland,is,25.959,-97.287
Palo Alto,urban,Winter,2021,5,3.57,wetland,is,25.959,-97.287
Combes/Holley,urban,Winter,2021,2,3.59,crops,not,26.085,-97.269
Combes/Holley,urban,Winter,2023,2,3.59,crops,not,26.085,-97.269
Palo Alto,urban,Summer,2018,2,3.67,wetland,is,26.324109,-97.376896
Palo Alto,urban,Summer,2019,2,3.67,wetland,is,26.191,-97.352
Palo Alto,urban,Winter,2018,3,3.67,wetland,is,26.191,-97.352
Palo Alto,urban,Summer,2018,4,3.67,wetland,is,26.191,-97.352
Camp Perry HAWY 143,Natural,Summer,2023,2,4.26,crops,not,26.191,-97.352
Camp Perry HAWY 143,urban,Winter,2023,2,4.26,crops,not,26.219,-97.335
Camp Perry HAWY 143,urban,Summer,2021,2,4.261,crops,not,26.219,-97.335
CR1400,natural,Summer,2019,3,4.36,crops,not,26.219,-97.335
CR1400,natural,Winter,2020,3,4.46,crops,not,25.962,-97.269
CR1400,natural,Winter,2021,3,4.46,crops,not,25.962,-97.269
Canal,natural,Winter,2021,3,4.77,crops,not,25.962,-97.269
Canal,natural,Winter,2018,6,4.77,crops,not,25.962,-97.269
Bulk Pack,urban,Summer,2018,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Summer,2018,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Winter,2018,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Summer,2019,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Winter,2019,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Summer,2020,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Summer,2020,2,4.93,crops,not,25.962,-97.269
Bulk Pack,urban,Winter,2023,2,4.93,crops,not,25.962,-97.269
Bulk Pack,Urban,Summer,2023,2,4.93,crops,not,26.15297,-97.68165
Bulk Pack,urban,Winter,2020,4,4.93,crops,not,26.15297,-97.68165
Bulk Pack,urban,Winter,2021,4,4.93,crops,not,26.15297,-97.68165
Bulk Pack,urban,Summer,2019,5,4.93,crops,not,25.953,-97.249
Laguna Vista,urban,Winter,2021,2,5.63,wetland,is,25.953,-97.249
Laguna Vista,urban,Summer,2023,2,5.63,wetland,is,25.953,-97.249
Bayside,natural,Summer,2019,2,6.46,wetland,is,25.953,-97.249
Bayside,Natural,Summer,2023,1,6.49,wetland,is,25.953,-97.249
Bayside,natural,Winter,2020,2,6.49,wetland,is,25.953,-97.249
Bayside,natural,Summer,2021,2,6.49,wetland,is,25.953,-97.249
Bayside,natural,Summer,2020,4,6.49,wetland,is,25.953,-97.249
Bayside,natural,Winter,2021,4,6.49,wetland,is,25.953,-97.249
Olmito,Urban,Summer,2023,2,6.623,crops,not,25.953,-97.249
Massey,natural,Winter,2023,2,7.23,wetland,is,25.953,-97.249
Massey,natural,Summer,2020,3,7.23,wetland,is,25.953,-97.249
Massey,natural,Winter,2020,3,7.23,wetland,is,26.261,-98.201
Massey,Natural,Summer,2023,3,7.23,wetland,is,26.261,-98.201
Massey,natural,Summer,2020,4,7.23,wetland,is,26.261,-98.201
Massey,natural,Winter,2021,4,7.23,wetland,is,26.261,-98.201
Massey,natural,Summer,2018,3,7.34,wetland,is,26.261,-98.201
Massey,natural,Summer,2018,3,7.34,wetland,is,26.261,-98.201
Massey,natural,Summer,2019,3,7.34,wetland,is,26.261,-98.201
Massey,natural,Summer,2019,3,7.34,wetland,is,25.965,-97.235072
Massey,natural,Winter,2019,3,7.34,wetland,is,25.965,-97.235072
Massey,natural,Winter,2018,5,7.34,wetland,is,26.234033,-97.350537
Rio Hondo,urban,Summer,2019,2,8.85,crops,not,26.06302,-97.526562
Rio Hondo,urban,Winter,2020,2,8.88,crops,not,25.943,-97.298
Rio Hondo,urban,Summer,2021,2,8.88,crops,not,25.943,-97.298
Rio Hondo,urban,Winter,2021,4,8.88,crops,not,25.943,-97.298
Rio Hondo,urban,Summer,2023,4,8.88,crops,not,25.943,-97.298
Rio Hondo,Urban,Summer,2023,4,8.88,crops,not,25.943,-97.298
Rio Hondo,urban,Winter,2023,4,8.88,crops,not,25.943,-97.298
Williams,urban,Summer,2023,1,9.19,crops,not,25.943,-97.298
Russell Road,Urban,Summer,2023,2,9.19,crops,not,25.943,-97.298
Williams,natural,Summer,2019,2,9.19,crops,not,25.943,-97.298
Williams,natural,Summer,2020,2,9.19,crops,not,25.943,-97.298
Williams,natural,Winter,2020,2,9.19,crops,not,25.945,-97.303
Williams,natural,Summer,2021,2,9.19,crops,not,25.945,-97.303
Williams,Natural,Summer,2023,3,9.19,crops,not,25.945,-97.303
Williams,natural,Winter,2023,4,9.19,crops,not,25.945,-97.303
Quicksilver,natural,Winter,2019,2,9.29,wetland,is,25.945,-97.303
Quicksilver,natural,Summer,2019,3,9.29,wetland,is,25.945,-97.303
Quicksilver,natural,Summer,2019,3,9.29,wetland,is,25.945,-97.303
Quicksilver,natural,Summer,2023,2,9.3,wetland,is,25.964,-97.303
Quicksilver,natural,Winter,2020,3,9.3,wetland,is,25.964,-97.303
Quicksilver,natural,Summer,2020,4,9.3,wetland,is,25.964,-97.303
Quicksilver,natural,Summer,2020,4,9.3,wetland,is,25.964,-97.303
Quicksilver,natural,Winter,2023,4,9.3,wetland,is,25.964,-97.303
Russel Rd (San Benito),urban,Summer,2019,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Summer,2020,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Summer,2020,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Winter,2020,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Summer,2021,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Winter,2023,2,10.29,crops,not,25.964,-97.303
Russel Rd (San Benito),urban,Winter,2021,4,10.29,crops,not,25.964,-97.303
Maggie Ln,urban,Winter,2021,4,10.9,developed land,not,25.964,-97.303
Maggie Ln,Urban,Summer,2023,5,10.9,developed land,not,25.952,-97.329
Maggie Ln,urban,Winter,2023,6,10.9,developed land,not,25.952,-97.301
Cottonwood Country Club,Urban,Summer,2023,3,11.5,crops,not,26.023,-97.482
Russel Road No 2,Urban,Summer,2023,2,12,crops,not,26.023,-97.482
Estero Llano Grande,natural,Summer,2019,2,12.15,crops,not,26.023,-97.482
Estero Llano Grande,natural,Summer,2019,2,12.15,crops,not,26.023,-97.482
Estero Llano Grande,natural,Summer,2020,2,12.15,crops,not,26.023,-97.482
Estero Llano Grande,natural,Summer,2020,3,12.15,crops,not,26.023,-97.482
Estero Llano Grande,natural,Winter,2021,4,12.15,crops,not,26.023,-97.482
Gavito 2,Natural,Summer,2023,4,12.2,wetland,is,25.964,-97.215
1847,natural,Summer,2023,3,12.63,wetland,is,25.964,-97.215
1847,Natural,Summer,2023,3,12.63,wetland,is,25.964,-97.215
1847,natural,Winter,2023,3,12.63,wetland,is,25.964,-97.215
511 Highway,urban,Winter,2018,1,12.71,crops,not,25.964,-97.215
511 Highway,urban,Summer,2019,2,12.71,crops,not,25.964,-97.215
511 Highway,urban,Winter,2019,2,12.71,crops,not,25.964,-97.215
511 Highway,urban,Summer,2020,2,12.71,crops,not,25.964,-97.215
511 Highway,urban,Winter,2020,2,12.71,crops,not,26.185,-97.663
511 Highway,urban,Summer,2021,2,12.71,crops,not,26.185,-97.663
511 Highway,urban,Winter,2021,2,12.71,crops,not,26.185,-97.663
511 Highway,Urban,Summer,2023,2,12.71,crops,not,26.185,-97.663
511 Highway,urban,Summer,2018,3,12.71,crops,not,26.235,-97.59
511 Highway,urban,Summer,2023,3,12.71,crops,not,26.235,-97.59
511 Highway,urban,Winter,2023,5,12.71,crops,not,26.235,-97.59
Church,Urban,Summer,2023,1,14.77,shrub/scrub,not,26.235,-97.59
Church,urban,Summer,2023,2,14.77,shrub/scrub,not,26.235,-97.59
509 and I69 E,urban,Winter,2023,4,15.6,crops,not,26.235,-97.59
Drury,urban,Summer,2023,1,16.06,crops,not,26.235,-97.59
Drury,urban,Summer,2018,2,16.06,crops,not,26.156,-97.637
Drury,urban,Summer,2019,2,16.06,crops,not,26.156,-97.637
Drury,urban,Summer,2020,2,16.06,crops,not,26.156,-97.637
Drury,urban,Winter,2019,3,16.06,crops,not,26.156,-97.637
East Harlingen,Urban,Summer,2023,1,17.69,crops,not,26.156,-97.637
Holly Beach,urban,Winter,2021,2,20.78,wetland,is,26.156,-97.637
Holly Beach,urban,Summer,2020,3,20.78,wetland,is,26.156,-97.637
Holly Beach,urban,Summer,2020,4,20.78,wetland,is,26.161151,-97.644867
Fish Hatchery,urban,Summer,2018,2,21.11,crops,not,26.156,-97.637
Fish Hatchery,urban,Summer,2019,2,21.11,crops,not,26.135,-97.35
Fish Hatchery,urban,Summer,2019,2,21.11,crops,not,26.008,-97.486
Fish Hatchery,urban,Winter,2019,2,21.11,crops,not,26.008,-97.486
Fish Hatchery,urban,Summer,2020,2,21.11,crops,not,26.195,-97.418
Fish Hatchery,urban,Summer,2020,2,21.11,crops,not,26.195,-97.418
Fish Hatchery,urban,Summer,2021,2,21.11,crops,not,26.195,-97.418
Fish Hatchery,urban,Winter,2020,4,21.11,crops,not,26.195,-97.418
Fish Hatchery,urban,Winter,2021,4,21.11,crops,not,26.195,-97.418
2.5MileW,urban,Summer,2018,2,29.26,pasture,not,26.195,-97.418
2.5MileW,urban,Summer,2019,2,29.26,pasture,not,26.185,-97.384
Billboard,urban,Summer,2019,2,29.78,wetland,is,26.248577,-97.379946
Billboard,urban,Summer,2020,2,29.89,wetland,is,26.244,-98.202
Billboard,urban,Summer,2020,2,29.89,wetland,is,26.244,-98.202
Billboard,urban,Winter,2020,2,29.89,wetland,is,26.244,-98.202
Billboard,urban,Winter,2021,2,29.89,wetland,is,26.244,-98.202
Billboard,Urban,Summer,2023,2,29.89,wetland,is,26.244,-98.202
Billboard,urban,Winter,2023,2,29.89,wetland,is,26.244,-98.202
2.5MileW,urban,Summer,2020,2,31.5,pasture,not,26.244,-98.202
2.5MileW,urban,Summer,2021,2,31.5,pasture,not,26.244,-98.202
2.5 Mi W,urban,Summer,2023,3,31.5,pasture,not,26.207,-98.26
2.5 Mi W,Urban,Summer,2023,3,31.5,pasture,not,26.207,-98.26
2.5MileW,urban,Summer,2020,3,31.5,pasture,not,26.207,-98.26
2.5MileW,urban,Winter,2023,3,31.5,pasture,not,26.207,-98.26
2.5MileW,urban,Winter,2020,4,31.5,pasture,not,26.207,-98.26
2.5MileW,urban,Winter,2021,4,31.5,pasture,not,26.198,-97.594
Bentsen,urban,Summer,2019,3,43.23,developed land,not,26.198,-97.594
Bentsen,urban,Summer,2019,3,43.23,developed land,not,26.198,-97.594
Bentsen,urban,Winter,2019,3,43.23,developed land,not,26.198,-97.594
Bentsen,urban,Winter,2021,2,43.55,developed land,not,26.198,-97.594
Bentsen,urban,Summer,2020,3,43.55,developed land,not,26.198,-97.594
Bentsen,urban,Winter,2020,3,43.55,developed land,not,26.198,-97.594
Violet,urban,Summer,2018,2,47.39,developed land,not,26.132,-97.361
Violet,urban,Summer,2019,2,47.39,developed land,not,26.132,-97.361
Violet,urban,Summer,2019,2,47.39,developed land,not,26.132,-97.361
Violet,urban,Summer,2020,2,47.78,developed land,not,26.132,-97.361
Violet,urban,Summer,2020,2,47.78,developed land,not,26.132,-97.361
Violet,urban,Winter,2020,2,47.78,developed land,not,26.132,-97.361
Violet,urban,Summer,2021,2,47.78,developed land,not,26.132,-97.361
Violet,urban,Winter,2021,2,47.78,developed land,not,26.132,-97.361
Ramsey park,urban,Summer,2023,1,48.16,developed land,not,25.929,-97.363
Ramsey park,Urban,Summer,2023,1,48.16,developed land,not,25.929,-97.363
Ramsey Park,urban,Winter,2021,2,48.16,developed land,not,25.929,-97.363
Ramsey Park,urban,Winter,2023,2,48.16,developed land,not,25.929,-97.363
McColl,urban,Summer,2018,2,50.22,developed land,not,25.929,-97.363
McColl,urban,Summer,2019,2,50.22,developed land,not,25.929,-97.363
McColl,urban,Summer,2019,2,50.22,developed land,not,25.929,-97.363
McColl,urban,Winter,2019,2,50.22,developed land,not,25.929,-97.363
McColl,urban,Summer,2020,2,50.75,developed land,not,25.929,-97.363
McColl,urban,Summer,2020,2,50.75,developed land,not,25.929,-97.363
McColl,urban,Winter,2021,2,50.75,developed land,not,25.929,-97.363
Daycare,urban,Summer,2019,2,52.58,developed land,not,25.929,-97.363
Ware/MNC,natural,Summer,2018,2,59.22,developed land,not,25.929,-97.363
Ware/MNC,natural,Winter,2019,2,59.22,developed land,not,26.101667,-97.715
Ware/MNC,natural,Summer,2019,3,59.22,developed land,not,26.101667,-97.715
Ware/MNC,natural,Summer,2020,2,59.28,developed land,not,26.101667,-97.715
Ware/MNC,natural,Summer,2020,3,59.28,developed land,not,26.101667,-97.715
